DB_SIZE,SW_MATCHED,SW_ELAPSED,HW_MATCHED,HW_ELAPSED
500,128,0.001698,128,0.316911
500,128,0.001738,128,0.316864
500,128,0.001677,128,0.316932
500,128,0.001762,128,0.316936
500,128,0.001766,128,0.316928
500,128,0.001713,128,0.316575
500,128,0.001712,128,0.316843
500,128,0.001720,128,0.316918
500,128,0.001742,128,0.316918
500,128,0.001698,128,0.316904
500,128,0.001697,128,0.316608
500,128,0.001726,128,0.316659
500,128,0.001727,128,0.316519
500,128,0.001734,128,0.316599
500,128,0.001734,128,0.314959
500,128,0.001757,128,0.316924
500,128,0.001698,128,0.316931
500,128,0.001761,128,0.316912
500,128,0.001755,128,0.314833
500,128,0.001730,128,0.316848
500,128,0.001746,128,0.316366
500,128,0.001766,128,0.315314
500,128,0.001701,128,0.316671
500,128,0.001741,128,0.316891
500,128,0.001726,128,0.316918
500,128,0.001735,128,0.316597
500,128,0.001732,128,0.316925
500,128,0.001761,128,0.316595
500,128,0.001715,128,0.316914
500,128,0.001690,128,0.316746
500,128,0.001745,128,0.316921
500,128,0.001720,128,0.316930
500,128,0.001806,128,0.303252
500,128,0.001729,128,0.316917
500,128,0.001746,128,0.316854
500,128,0.001751,128,0.316127
500,128,0.001719,128,0.316827
500,128,0.001697,128,0.316924
500,128,0.001739,128,0.316936
500,128,0.001686,128,0.316638
500,128,0.001686,128,0.316932
500,128,0.001697,128,0.316759
500,128,0.001698,128,0.316903
500,128,0.001748,128,0.316910
500,128,0.001758,128,0.316937
500,128,0.001733,128,0.316688
500,128,0.001692,128,0.316919
500,128,0.001684,128,0.314560
500,128,0.001743,128,0.316903
500,128,0.001737,128,0.316937
500,128,0.001697,128,0.315570
500,128,0.001779,128,0.315766
500,128,0.001752,128,0.313950
500,128,0.001689,128,0.316890
500,128,0.001755,128,0.312453
500,128,0.001744,128,0.316606
500,128,0.001734,128,0.316855
500,128,0.001744,128,0.316935
500,128,0.001752,128,0.316527
500,128,0.001738,128,0.316052
500,128,0.001702,128,0.316529
500,128,0.001719,128,0.316541
500,128,0.001694,128,0.316932
500,128,0.001721,128,0.316937
500,128,0.001754,128,0.316913
500,128,0.001722,128,0.316547
500,128,0.001736,128,0.316581
500,128,0.001741,128,0.316889
500,128,0.001748,128,0.316921
500,128,0.001714,128,0.316919
500,128,0.001738,128,0.316789
500,128,0.001754,128,0.316837
500,128,0.001757,128,0.316802
500,128,0.001743,128,0.316808
500,128,0.001749,128,0.316824
500,128,0.001696,128,0.316818
500,128,0.001714,128,0.315531
500,128,0.001725,128,0.316715
500,128,0.001684,128,0.316268
500,128,0.001716,128,0.316680
500,128,0.001772,128,0.316736
500,128,0.001749,128,0.316591
500,128,0.001749,128,0.316934
500,128,0.001686,128,0.316519
500,128,0.001739,128,0.316493
500,128,0.001753,128,0.316933
500,128,0.001692,128,0.316592
500,128,0.001777,128,0.316909
500,128,0.001729,128,0.316537
500,128,0.001732,128,0.316536
500,128,0.001682,128,0.316320
500,128,0.001717,128,0.316938
500,128,0.001741,128,0.316923
500,128,0.001735,128,0.316600
500,128,0.001768,128,0.316939
500,128,0.001751,128,0.316610
500,128,0.001731,128,0.314885
500,128,0.001688,128,0.316926
500,128,0.001715,128,0.316576
500,128,0.001690,128,0.316936
1000,128,0.003400,128,0.316844
1000,128,0.003465,128,0.316523
1000,128,0.003477,128,0.316940
1000,128,0.003413,128,0.316939
1000,128,0.003497,128,0.300950
1000,128,0.003514,128,0.310956
1000,128,0.003370,128,0.316936
1000,128,0.003464,128,0.315691
1000,128,0.003427,128,0.316904
1000,128,0.003477,128,0.315734
1000,128,0.003423,128,0.316222
1000,128,0.003482,128,0.316939
1000,128,0.003468,128,0.316796
1000,128,0.003425,128,0.315633
1000,128,0.003354,128,0.315860
1000,128,0.003376,128,0.315726
1000,128,0.003407,128,0.316917
1000,128,0.003402,128,0.314338
1000,128,0.003374,128,0.316929
1000,128,0.003500,128,0.316209
1000,128,0.003362,128,0.315685
1000,128,0.003429,128,0.315202
1000,128,0.003427,128,0.316934
1000,128,0.003381,128,0.315966
1000,128,0.003433,128,0.316271
1000,128,0.003493,128,0.316939
1000,128,0.003350,128,0.316869
1000,128,0.003384,128,0.314436
1000,128,0.003472,128,0.316804
1000,128,0.003451,128,0.315416
1000,128,0.003497,128,0.314908
1000,128,0.003375,128,0.315941
1000,128,0.003393,128,0.311526
1000,128,0.003450,128,0.316934
1000,128,0.003347,128,0.316601
1000,128,0.003362,128,0.314792
1000,128,0.003470,128,0.316838
1000,128,0.003501,128,0.316839
1000,128,0.003674,128,0.316829
1000,128,0.003482,128,0.316779
1000,128,0.003383,128,0.316836
1000,128,0.003528,128,0.316873
1000,128,0.003492,128,0.316840
1000,128,0.003367,128,0.316932
1000,128,0.003487,128,0.316869
1000,128,0.003493,128,0.316933
1000,128,0.003423,128,0.316634
1000,128,0.003431,128,0.316913
1000,128,0.003483,128,0.314898
1000,128,0.003424,128,0.316791
1000,128,0.003503,128,0.316940
1000,128,0.003426,128,0.316939
1000,128,0.003494,128,0.316940
1000,128,0.003439,128,0.316674
1000,128,0.003423,128,0.316922
1000,128,0.003445,128,0.316936
1000,128,0.003364,128,0.316936
1000,128,0.003518,128,0.316862
1000,128,0.003458,128,0.316939
1000,128,0.003467,128,0.316917
1000,128,0.003454,128,0.316941
1000,128,0.003504,128,0.316930
1000,128,0.003359,128,0.316872
1000,128,0.003500,128,0.316936
1000,128,0.003465,128,0.316575
1000,128,0.003369,128,0.316939
1000,128,0.003472,128,0.316803
1000,128,0.003456,128,0.316890
1000,128,0.003427,128,0.316932
1000,128,0.003390,128,0.316921
1000,128,0.003437,128,0.316926
1000,128,0.003465,128,0.316936
1000,128,0.003374,128,0.316906
1000,128,0.003417,128,0.316939
1000,128,0.003428,128,0.316940
1000,128,0.003454,128,0.316920
1000,128,0.003486,128,0.316914
1000,128,0.003462,128,0.316670
1000,128,0.003452,128,0.316826
1000,128,0.003499,128,0.316673
1000,128,0.003462,128,0.316584
1000,128,0.003425,128,0.314262
1000,128,0.003377,128,0.316674
1000,128,0.003450,128,0.316475
1000,128,0.003434,128,0.315161
1000,128,0.003494,128,0.316587
1000,128,0.003508,128,0.316939
1000,128,0.003384,128,0.316674
1000,128,0.003410,128,0.316490
1000,128,0.003513,128,0.316609
1000,128,0.003420,128,0.316576
1000,128,0.003407,128,0.316935
1000,128,0.003479,128,0.316672
1000,128,0.003447,128,0.316847
1000,128,0.003490,128,0.316939
1000,128,0.003470,128,0.316675
1000,128,0.003465,128,0.316935
1000,128,0.003439,128,0.316918
1000,128,0.003478,128,0.316854
1000,128,0.003448,128,0.316937
1500,128,0.005213,128,0.316672
1500,128,0.005060,128,0.316930
1500,128,0.005245,128,0.316932
1500,128,0.005208,128,0.316870
1500,128,0.005167,128,0.316940
1500,128,0.005065,128,0.316937
1500,128,0.005072,128,0.316939
1500,128,0.005041,128,0.316676
1500,128,0.005047,128,0.316848
1500,128,0.005233,128,0.316916
1500,128,0.005241,128,0.316929
1500,128,0.005044,128,0.316934
1500,128,0.005065,128,0.316917
1500,128,0.005213,128,0.316867
1500,128,0.005024,128,0.316940
1500,128,0.005129,128,0.316918
1500,128,0.005129,128,0.316935
1500,128,0.005263,128,0.316938
1500,128,0.005065,128,0.316865
1500,128,0.005190,128,0.316938
1500,128,0.005235,128,0.316926
1500,128,0.005282,128,0.316937
1500,128,0.005196,128,0.316931
1500,128,0.005241,128,0.316826
1500,128,0.005062,128,0.316676
1500,128,0.005136,128,0.316931
1500,128,0.005164,128,0.316939
1500,128,0.005192,128,0.316834
1500,128,0.005218,128,0.316841
1500,128,0.005052,128,0.316675
1500,128,0.005214,128,0.316930
1500,128,0.005174,128,0.316935
1500,128,0.005090,128,0.316757
1500,128,0.005210,128,0.316923
1500,128,0.005241,128,0.316934
1500,128,0.005235,128,0.316909
1500,128,0.005239,128,0.316934
1500,128,0.005219,128,0.316825
1500,128,0.005227,128,0.316933
1500,128,0.005092,128,0.316835
1500,128,0.005126,128,0.316917
1500,128,0.005174,128,0.316827
1500,128,0.005050,128,0.316876
1500,128,0.005039,128,0.316919
1500,128,0.005226,128,0.316913
1500,128,0.005114,128,0.316925
1500,128,0.005150,128,0.316939
1500,128,0.005164,128,0.316827
1500,128,0.005162,128,0.316833
1500,128,0.005080,128,0.316674
1500,128,0.005185,128,0.316939
1500,128,0.005209,128,0.316594
1500,128,0.005067,128,0.316885
1500,128,0.005240,128,0.316602
1500,128,0.005190,128,0.316905
1500,128,0.005195,128,0.316920
1500,128,0.005241,128,0.316675
1500,128,0.005204,128,0.316887
1500,128,0.005183,128,0.316933
1500,128,0.005203,128,0.316481
1500,128,0.005152,128,0.316933
1500,128,0.005062,128,0.316931
1500,128,0.005052,128,0.316924
1500,128,0.005052,128,0.316661
1500,128,0.005172,128,0.316895
1500,128,0.005268,128,0.316938
1500,128,0.005252,128,0.316920
1500,128,0.005079,128,0.316919
1500,128,0.005229,128,0.316914
1500,128,0.005187,128,0.316910
1500,128,0.005219,128,0.316916
1500,128,0.005140,128,0.316671
1500,128,0.005137,128,0.316915
1500,128,0.005069,128,0.316912
1500,128,0.005131,128,0.316903
1500,128,0.005264,128,0.316834
1500,128,0.005178,128,0.316870
1500,128,0.005219,128,0.316939
1500,128,0.005095,128,0.315165
1500,128,0.005216,128,0.316925
1500,128,0.005186,128,0.316933
1500,128,0.005017,128,0.316868
1500,128,0.005223,128,0.316926
1500,128,0.005202,128,0.316923
1500,128,0.005151,128,0.316942
1500,128,0.005147,128,0.316673
1500,128,0.005188,128,0.316388
1500,128,0.005172,128,0.316931
1500,128,0.005042,128,0.316638
1500,128,0.005058,128,0.316939
1500,128,0.005244,128,0.316586
1500,128,0.005186,128,0.316890
1500,128,0.005136,128,0.316933
1500,128,0.005172,128,0.316824
1500,128,0.005092,128,0.316940
1500,128,0.005154,128,0.316834
1500,128,0.005014,128,0.316724
1500,128,0.005144,128,0.316939
1500,128,0.005050,128,0.316927
1500,128,0.005195,128,0.316818
2000,128,0.006947,128,0.316939
2000,128,0.006975,128,0.316937
2000,128,0.006864,128,0.316939
2000,128,0.006741,128,0.316651
2000,128,0.006863,128,0.316940
2000,128,0.006824,128,0.316869
2000,128,0.006743,128,0.316935
2000,128,0.006879,128,0.316525
2000,128,0.006760,128,0.316937
2000,128,0.006996,128,0.316934
2000,128,0.006814,128,0.316892
2000,128,0.006957,128,0.316938
2000,128,0.006907,128,0.316930
2000,128,0.006882,128,0.316939
2000,128,0.006965,128,0.316940
2000,128,0.006968,128,0.316939
2000,128,0.007059,128,0.316673
2000,128,0.006986,128,0.316912
2000,128,0.006871,128,0.314839
2000,128,0.006966,128,0.316870
2000,128,0.006761,128,0.314817
2000,128,0.006902,128,0.316927
2000,128,0.006883,128,0.316760
2000,128,0.006996,128,0.316939
2000,128,0.007029,128,0.316856
2000,128,0.006722,128,0.316910
2000,128,0.006989,128,0.316929
2000,128,0.006692,128,0.316934
2000,128,0.006963,128,0.316895
2000,128,0.006764,128,0.316939
2000,128,0.006938,128,0.316668
2000,128,0.006839,128,0.316939
2000,128,0.006977,128,0.316939
2000,128,0.006691,128,0.316862
2000,128,0.006744,128,0.316939
2000,128,0.006848,128,0.316930
2000,128,0.006678,128,0.316939
2000,128,0.007019,128,0.316939
2000,128,0.006986,128,0.316938
2000,128,0.007014,128,0.316938
2000,128,0.006770,128,0.316918
2000,128,0.006725,128,0.316930
2000,128,0.007042,128,0.316871
2000,128,0.006879,128,0.316940
2000,128,0.006899,128,0.316939
2000,128,0.006892,128,0.316938
2000,128,0.007017,128,0.316620
2000,128,0.006828,128,0.316873
2000,128,0.006895,128,0.315681
2000,128,0.006716,128,0.314990
2000,128,0.006726,128,0.316939
2000,128,0.006958,128,0.316475
2000,128,0.006940,128,0.316933
2000,128,0.006804,128,0.316939
2000,128,0.006730,128,0.315289
2000,128,0.006705,128,0.316937
2000,128,0.006882,128,0.316790
2000,128,0.006972,128,0.316935
2000,128,0.006908,128,0.316913
2000,128,0.006777,128,0.316939
2000,128,0.006733,128,0.316565
2000,128,0.006850,128,0.316586
2000,128,0.006891,128,0.316939
2000,128,0.007001,128,0.316917
2000,128,0.007012,128,0.316934
2000,128,0.006883,128,0.316870
2000,128,0.006749,128,0.316941
2000,128,0.006848,128,0.316938
2000,128,0.006885,128,0.316933
2000,128,0.006723,128,0.316884
2000,128,0.006773,128,0.316814
2000,128,0.006889,128,0.316939
2000,128,0.006919,128,0.316916
2000,128,0.006786,128,0.316939
2000,128,0.006910,128,0.316880
2000,128,0.006898,128,0.316912
2000,128,0.006864,128,0.316930
2000,128,0.007002,128,0.316915
2000,128,0.006868,128,0.316932
2000,128,0.006907,128,0.316881
2000,128,0.006704,128,0.316916
2000,128,0.006989,128,0.316438
2000,128,0.006865,128,0.315805
2000,128,0.006701,128,0.316931
2000,128,0.006965,128,0.316860
2000,128,0.006944,128,0.315483
2000,128,0.006739,128,0.316907
2000,128,0.006978,128,0.316938
2000,128,0.006994,128,0.316868
2000,128,0.006874,128,0.316928
2000,128,0.006842,128,0.316389
2000,128,0.006969,128,0.316920
2000,128,0.006999,128,0.316916
2000,128,0.006779,128,0.316749
2000,128,0.006896,128,0.316919
2000,128,0.006787,128,0.316917
2000,128,0.006977,128,0.316935
2000,128,0.006714,128,0.316498
2000,128,0.006781,128,0.316938
2000,128,0.006765,128,0.316908
2500,128,0.008384,128,0.316925
2500,128,0.008720,128,0.316565
2500,128,0.008412,128,0.316635
2500,128,0.008666,128,0.316940
2500,128,0.008643,128,0.316924
2500,128,0.008683,128,0.316823
2500,128,0.008477,128,0.316851
2500,128,0.008677,128,0.316939
2500,128,0.008690,128,0.315132
2500,128,0.008730,128,0.316918
2500,128,0.008472,128,0.316934
2500,128,0.008580,128,0.316527
2500,128,0.008744,128,0.316914
2500,128,0.008682,128,0.316575
2500,128,0.008717,128,0.316939
2500,128,0.008400,128,0.316865
2500,128,0.008407,128,0.316915
2500,128,0.008560,128,0.316924
2500,128,0.008776,128,0.316928
2500,128,0.008788,128,0.316675
2500,128,0.008701,128,0.316915
2500,128,0.008619,128,0.315147
2500,128,0.008690,128,0.316940
2500,128,0.008590,128,0.316914
2500,128,0.008775,128,0.316516
2500,128,0.008612,128,0.314630
2500,128,0.008404,128,0.316580
2500,128,0.008811,128,0.314926
2500,128,0.008472,128,0.316854
2500,128,0.008672,128,0.316940
2500,128,0.008753,128,0.316719
2500,128,0.008664,128,0.316601
2500,128,0.008570,128,0.316676
2500,128,0.008512,128,0.316921
2500,128,0.008456,128,0.316930
2500,128,0.008730,128,0.316581
2500,128,0.008727,128,0.316677
2500,128,0.008457,128,0.316845
2500,128,0.008434,128,0.316932
2500,128,0.008420,128,0.316916
2500,128,0.008648,128,0.315818
2500,128,0.008469,128,0.316891
2500,128,0.008466,128,0.316938
2500,128,0.008854,128,0.316668
2500,128,0.008615,128,0.316935
2500,128,0.008391,128,0.316931
2500,128,0.008537,128,0.316920
2500,128,0.008608,128,0.316914
2500,128,0.008701,128,0.316919
2500,128,0.008562,128,0.316600
2500,128,0.008398,128,0.316847
2500,128,0.008680,128,0.316917
2500,128,0.008833,128,0.316925
2500,128,0.008631,128,0.316940
2500,128,0.008772,128,0.316782
2500,128,0.008555,128,0.316933
2500,128,0.008707,128,0.316926
2500,128,0.008552,128,0.316601
2500,128,0.008671,128,0.316916
2500,128,0.008587,128,0.316884
2500,128,0.008747,128,0.316920
2500,128,0.008751,128,0.316909
2500,128,0.008556,128,0.316938
2500,128,0.008651,128,0.316823
2500,128,0.008465,128,0.316920
2500,128,0.008676,128,0.316646
2500,128,0.008738,128,0.316930
2500,128,0.008807,128,0.316920
2500,128,0.008685,128,0.316919
2500,128,0.008406,128,0.315177
2500,128,0.008700,128,0.316925
2500,128,0.008428,128,0.316917
2500,128,0.008405,128,0.316868
2500,128,0.008491,128,0.316932
2500,128,0.008803,128,0.316895
2500,128,0.008760,128,0.316917
2500,128,0.008740,128,0.316855
2500,128,0.008691,128,0.316938
2500,128,0.008420,128,0.316917
2500,128,0.008472,128,0.316936
2500,128,0.008698,128,0.316675
2500,128,0.008385,128,0.316917
2500,128,0.008572,128,0.316674
2500,128,0.008561,128,0.316919
2500,128,0.008765,128,0.316930
2500,128,0.008728,128,0.316858
2500,128,0.008573,128,0.316913
2500,128,0.008521,128,0.316919
2500,128,0.008655,128,0.316939
2500,128,0.008579,128,0.316840
2500,128,0.008833,128,0.316614
2500,128,0.008708,128,0.315164
2500,128,0.008663,128,0.316939
2500,128,0.008669,128,0.316670
2500,128,0.008645,128,0.316482
2500,128,0.008370,128,0.315684
2500,128,0.008696,128,0.316894
2500,128,0.008396,128,0.316931
2500,128,0.008572,128,0.316846
2500,128,0.008624,128,0.316938
3000,128,0.010183,128,0.316905
3000,128,0.010076,128,0.316938
3000,128,0.010306,128,0.316667
3000,128,0.010392,128,0.316590
3000,128,0.010291,128,0.315699
3000,128,0.010335,128,0.316932
3000,128,0.010474,128,0.316496
3000,128,0.010291,128,0.316916
3000,128,0.010116,128,0.316938
3000,128,0.010312,128,0.316924
3000,128,0.010431,128,0.316934
3000,128,0.010247,128,0.316916
3000,128,0.010342,128,0.316910
3000,128,0.010062,128,0.316930
3000,128,0.010290,128,0.316920
3000,128,0.010465,128,0.316853
3000,128,0.010489,128,0.316919
3000,128,0.010106,128,0.316906
3000,128,0.010247,128,0.316939
3000,128,0.010299,128,0.316850
3000,128,0.010439,128,0.316933
3000,128,0.010390,128,0.316912
3000,128,0.010492,128,0.316941
3000,128,0.010493,128,0.316872
3000,128,0.010155,128,0.316912
3000,128,0.010373,128,0.316906
3000,128,0.010418,128,0.316934
3000,128,0.010120,128,0.316791
3000,128,0.010307,128,0.316928
3000,128,0.010107,128,0.316902
3000,128,0.010109,128,0.316930
3000,128,0.010335,128,0.316924
3000,128,0.010347,128,0.316912
3000,128,0.010426,128,0.316927
3000,128,0.010280,128,0.316894
3000,128,0.010382,128,0.316917
3000,128,0.010546,128,0.316941
3000,128,0.010477,128,0.316906
3000,128,0.010263,128,0.316929
3000,128,0.010065,128,0.316939
3000,128,0.010442,128,0.316817
3000,128,0.010391,128,0.316925
3000,128,0.010265,128,0.316841
3000,128,0.010205,128,0.316939
3000,128,0.010221,128,0.316807
3000,128,0.010314,128,0.316940
3000,128,0.010115,128,0.316914
3000,128,0.010432,128,0.316907
3000,128,0.010131,128,0.316861
3000,128,0.010428,128,0.316913
3000,128,0.010467,128,0.316922
3000,128,0.010467,128,0.316920
3000,128,0.010172,128,0.316862
3000,128,0.010149,128,0.316917
3000,128,0.010444,128,0.316406
3000,128,0.010505,128,0.316560
3000,128,0.010150,128,0.316564
3000,128,0.010322,128,0.316594
3000,128,0.010404,128,0.316914
3000,128,0.010388,128,0.316916
3000,128,0.010549,128,0.316930
3000,128,0.010431,128,0.316921
3000,128,0.010391,128,0.316779
3000,128,0.010188,128,0.316919
3000,128,0.010356,128,0.316912
3000,128,0.010153,128,0.316840
3000,128,0.010114,128,0.316785
3000,128,0.010258,128,0.316926
3000,128,0.010228,128,0.316939
3000,128,0.010463,128,0.316849
3000,128,0.010249,128,0.316939
3000,128,0.010146,128,0.316912
3000,128,0.010398,128,0.316940
3000,128,0.010535,128,0.316850
3000,128,0.010538,128,0.316935
3000,128,0.010570,128,0.316920
3000,128,0.010371,128,0.316940
3000,128,0.010135,128,0.316800
3000,128,0.010178,128,0.316940
3000,128,0.010539,128,0.316741
3000,128,0.010092,128,0.316939
3000,128,0.010194,128,0.316940
3000,128,0.010493,128,0.316941
3000,128,0.010299,128,0.316676
3000,128,0.010351,128,0.316941
3000,128,0.010282,128,0.316670
3000,128,0.010404,128,0.316940
3000,128,0.010355,128,0.316897
3000,128,0.010341,128,0.316893
3000,128,0.010454,128,0.316887
3000,128,0.010533,128,0.316887
3000,128,0.010150,128,0.315200
3000,128,0.010393,128,0.316923
3000,128,0.010338,128,0.316940
3000,128,0.010501,128,0.316886
3000,128,0.010284,128,0.315505
3000,128,0.010417,128,0.316924
3000,128,0.010360,128,0.316939
3000,128,0.010553,128,0.316856
3000,128,0.010136,128,0.316908
3500,128,0.012168,128,0.316900
3500,128,0.012146,128,0.316940
3500,128,0.012162,128,0.316843
3500,128,0.012182,128,0.316940
3500,128,0.012190,128,0.316925
3500,128,0.012202,128,0.316938
3500,128,0.012230,128,0.316534
3500,128,0.012240,128,0.316933
3500,128,0.012323,128,0.316925
3500,128,0.011890,128,0.316939
3500,128,0.012259,128,0.316859
3500,128,0.012094,128,0.316939
3500,128,0.012113,128,0.316886
3500,128,0.012214,128,0.316939
3500,128,0.012178,128,0.316848
3500,128,0.012115,128,0.315333
3500,128,0.011982,128,0.316915
3500,128,0.012044,128,0.316925
3500,128,0.011833,128,0.316787
3500,128,0.012318,128,0.315461
3500,128,0.012239,128,0.316925
3500,128,0.012182,128,0.316941
3500,128,0.011820,128,0.316859
3500,128,0.012097,128,0.315498
3500,128,0.012251,128,0.316923
3500,128,0.012179,128,0.316909
3500,128,0.012179,128,0.316844
3500,128,0.011897,128,0.316940
3500,128,0.012161,128,0.316924
3500,128,0.012226,128,0.316909
3500,128,0.011834,128,0.316608
3500,128,0.012177,128,0.315355
3500,128,0.012185,128,0.316918
3500,128,0.012225,128,0.316674
3500,128,0.011985,128,0.316847
3500,128,0.012179,128,0.315368
3500,128,0.012014,128,0.316891
3500,128,0.011860,128,0.316937
3500,128,0.011980,128,0.316908
3500,128,0.012278,128,0.316941
3500,128,0.012285,128,0.316936
3500,128,0.012078,128,0.316676
3500,128,0.012279,128,0.316941
3500,128,0.012139,128,0.315821
3500,128,0.011836,128,0.316941
3500,128,0.012004,128,0.316676
3500,128,0.012060,128,0.316940
3500,128,0.012163,128,0.315367
3500,128,0.012089,128,0.316939
3500,128,0.011809,128,0.316835
3500,128,0.012104,128,0.316919
3500,128,0.011834,128,0.316674
3500,128,0.011780,128,0.316918
3500,128,0.011799,128,0.316940
3500,128,0.012237,128,0.316935
3500,128,0.012238,128,0.316894
3500,128,0.012029,128,0.316908
3500,128,0.012123,128,0.316914
3500,128,0.011869,128,0.316935
3500,128,0.011813,128,0.316939
3500,128,0.011798,128,0.316902
3500,128,0.012007,128,0.316871
3500,128,0.011783,128,0.316900
3500,128,0.011795,128,0.315629
3500,128,0.012004,128,0.316940
3500,128,0.012084,128,0.316925
3500,128,0.011862,128,0.316940
3500,128,0.012090,128,0.316675
3500,128,0.011821,128,0.316932
3500,128,0.012259,128,0.316811
3500,128,0.012094,128,0.316939
3500,128,0.011781,128,0.316915
3500,128,0.012085,128,0.316929
3500,128,0.012150,128,0.316846
3500,128,0.012267,128,0.316862
3500,128,0.011847,128,0.315668
3500,128,0.011749,128,0.316935
3500,128,0.012168,128,0.316557
3500,128,0.012191,128,0.316887
3500,128,0.011893,128,0.316930
3500,128,0.011764,128,0.316923
3500,128,0.012188,128,0.316861
3500,128,0.011921,128,0.316893
3500,128,0.012345,128,0.316885
3500,128,0.012132,128,0.316939
3500,128,0.012326,128,0.316779
3500,128,0.012030,128,0.316891
3500,128,0.012393,128,0.316931
3500,128,0.012206,128,0.316891
3500,128,0.011987,128,0.316847
3500,128,0.012053,128,0.316881
3500,128,0.011946,128,0.316930
3500,128,0.012076,128,0.316914
3500,128,0.012196,128,0.316559
3500,128,0.011813,128,0.316935
3500,128,0.012283,128,0.316913
3500,128,0.012113,128,0.316941
3500,128,0.012083,128,0.316842
3500,128,0.012020,128,0.316935
3500,128,0.012262,128,0.316898
